PV #,Group #,Signal Category,LabVIEW_Signal_Name,Access Type,Data Type,EPICS Process Variable (PV),Units,
1,1,Internal Status Monitoring,RICHCRIO:RICH_EPICS:RICH_EPICS_Air_Pressure_#1,Read Only,Double,B_DET_RICH_INTLK_AIRPR1,atm,
2,2,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#1,Read Only,Double,B_DET_RICH_INTLK_AIRFLOW1,slm,
3,3,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#2,Read Only,Double,B_DET_RICH_INTLK_AIRFLOW2,slm,
4,4,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow_#1,Read Only,Double,B_DET_RICH_INTLK_N2FLOW1,slm,
5,5,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow_#2,Read Only,Double,B_DET_RICH_INTLK_N2FLOW2,slm,
6,6,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#1,Read Only,Double,B_DET_RICH_INTLK_HUMID1,%,
7,7,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#2,Read Only,Double,B_DET_RICH_INTLK_HUMID2,%,
8,8,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#3,Read Only,Double,B_DET_RICH_INTLK_HUMID3,%,
9,9,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#4,Read Only,Double,B_DET_RICH_INTLK_HUMID4,%,
10,10,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#5,Read Only,Double,B_DET_RICH_INTLK_HUMID5,%,
11,11,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#6,Read Only,Double,B_DET_RICH_INTLK_HUMID6,%,
12,12,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#7,Read Only,Double,B_DET_RICH_INTLK_HUMID7,%,
13,13,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#8,Read Only,Double,B_DET_RICH_INTLK_HUMID8,%,
14,14,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#9,Read Only,Double,B_DET_RICH_INTLK_HUMID9,%,
15,15,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#10,Read Only,Double,B_DET_RICH_INTLK_HUMID10,%,
16,16,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#11,Read Only,Double,B_DET_RICH_INTLK_HUMID11,%,
17,17,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#12,Read Only,Double,B_DET_RICH_INTLK_HUMID12,%,
18,18,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#13,Read Only,Double,B_DET_RICH_INTLK_HUMID13,%,
19,19,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#14,Read Only,Double,B_DET_RICH_INTLK_HUMID14,%,
20,20,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#15,Read Only,Double,B_DET_RICH_INTLK_HUMID15,%,
21,21,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#16,Read Only,Double,B_DET_RICH_INTLK_HUMID16,%,
22,22,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#1,Read Only,Double,B_DET_RICH_INTLK_TEMP1,C,
23,23,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#2,Read Only,Double,B_DET_RICH_INTLK_TEMP2,C,
24,24,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#3,Read Only,Double,B_DET_RICH_INTLK_TEMP3,C,
25,25,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#4,Read Only,Double,B_DET_RICH_INTLK_TEMP4,C,
26,26,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#5,Read Only,Double,B_DET_RICH_INTLK_TEMP5,C,
27,27,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#6,Read Only,Double,B_DET_RICH_INTLK_TEMP6,C,
28,28,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#7,Read Only,Double,B_DET_RICH_INTLK_TEMP7,C,
29,29,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#8,Read Only,Double,B_DET_RICH_INTLK_TEMP8,C,
30,30,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#9,Read Only,Double,B_DET_RICH_INTLK_TEMP9,C,
31,31,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#10,Read Only,Double,B_DET_RICH_INTLK_TEMP10,C,
32,32,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#11,Read Only,Double,B_DET_RICH_INTLK_TEMP11,C,
33,33,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#12,Read Only,Double,B_DET_RICH_INTLK_TEMP12,C,
34,34,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#13,Read Only,Double,B_DET_RICH_INTLK_TEMP13,C,
35,35,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#14,Read Only,Double,B_DET_RICH_INTLK_TEMP14,C,
36,36,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#15,Read Only,Double,B_DET_RICH_INTLK_TEMP15,C,
37,37,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#16,Read Only,Double,B_DET_RICH_INTLK_TEMP16,C,
38,1,Individual Sensor Interlock Status,RICHCRIO:RICH_EPICS:RICH_EPICS_Air_Pressure_#1_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_AIRPR1_HI_STATUS,N/A,
39,2,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#1_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_AIRFLOW1_HI_STATUS,N/A,
40,3,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#2_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_AIRFLOW2_HI_STATUS,N/A,
41,4,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow_#1_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_N2FLOW1_HI_STATUS,N/A,
42,5,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow#2_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_N2FLOW2_HI_STATUS,N/A,
43,6,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#1_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID1_HI_STATUS,N/A,
44,7,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#2_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID2_HI_STATUS,N/A,
45,8,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#3_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID3_HI_STATUS,N/A,
46,9,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#4_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID4_HI_STATUS,N/A,
47,10,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#5_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID5_HI_STATUS,N/A,
48,11,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#6_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID6_HI_STATUS,N/A,
49,12,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#7_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID7_HI_STATUS,N/A,
50,13,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#8_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID8_HI_STATUS,N/A,
51,14,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#9_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID9_HI_STATUS,N/A,
52,15,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#10_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID10_HI_STATUS,N/A,
53,16,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#11_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID11_HI_STATUS,N/A,
54,17,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#12_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID12_HI_STATUS,N/A,
55,18,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#13_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID13_HI_STATUS,N/A,
56,19,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#14_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID14_HI_STATUS,N/A,
57,20,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#15_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID15_HI_STATUS,N/A,
58,21,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#16_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID16_HI_STATUS,N/A,
59,22,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#1_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP1_HI_STATUS,N/A,
60,23,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#2_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP2_HI_STATUS,N/A,
61,24,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#3_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP3_HI_STATUS,N/A,
62,25,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#4_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP4_HI_STATUS,N/A,
63,26,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#5_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP5_HI_STATUS,N/A,
64,27,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#6_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP6_HI_STATUS,N/A,
65,28,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#7_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP7_HI_STATUS,N/A,
66,29,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#8_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP8_HI_STATUS,N/A,
67,30,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#9_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP9_HI_STATUS,N/A,
68,31,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#10_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP10_HI_STATUS,N/A,
69,32,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#11_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP11_HI_STATUS,N/A,
70,33,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#12_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP12_HI_STATUS,N/A,
71,34,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#13_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP13_HI_STATUS,N/A,
72,35,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#14_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP14_HI_STATUS,N/A,
73,36,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#15_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP15_HI_STATUS,N/A,
74,37,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#16_Hi_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP16_HI_STATUS,N/A,
75,38,,RICHCRIO:RICH_EPICS:RICH_EPICS_Air_Pressure_#1_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_AIRPR1_LO_STATUS,N/A,
76,39,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#1_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_AIRFLOW1_LO_STATUS,N/A,
77,40,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#2_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_AIRFLOW2_LO_STATUS,N/A,
78,41,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow_#1_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_N2FLOW1_LO_STATUS,N/A,
79,42,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow#2_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_N2FLOW2_LO_STATUS,N/A,
80,43,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#1_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID1_LO_STATUS,N/A,
81,44,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#2_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID2_LO_STATUS,N/A,
82,45,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#3_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID3_LO_STATUS,N/A,
83,46,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#4_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID4_LO_STATUS,N/A,
84,47,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#5_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID5_LO_STATUS,N/A,
85,48,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#6_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID6_LO_STATUS,N/A,
86,49,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#7_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID7_LO_STATUS,N/A,
87,50,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#8_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID8_LO_STATUS,N/A,
88,51,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#9_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID9_LO_STATUS,N/A,
89,52,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#10_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID10_LO_STATUS,N/A,
90,53,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#11_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID11_LO_STATUS,N/A,
91,54,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#12_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID12_LO_STATUS,N/A,
92,55,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#13_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID13_LO_STATUS,N/A,
93,56,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#14_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID14_LO_STATUS,N/A,
94,57,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#15_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID15_LO_STATUS,N/A,
95,58,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#16_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_HUMID16_LO_STATUS,N/A,
96,59,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#1_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP1_LO_STATUS,N/A,
97,60,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#2_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP2_LO_STATUS,N/A,
98,61,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#3_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP3_LO_STATUS,N/A,
99,62,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#4_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP4_LO_STATUS,N/A,
100,63,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#5_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP5_LO_STATUS,N/A,
101,64,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#6_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP6_LO_STATUS,N/A,
102,65,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#7_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP7_LO_STATUS,N/A,
103,66,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#8_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP8_LO_STATUS,N/A,
104,67,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#9_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP9_LO_STATUS,N/A,
105,68,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#10_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP10_LO_STATUS,N/A,
106,69,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#11_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP11_LO_STATUS,N/A,
107,70,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#12_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP12_LO_STATUS,N/A,
108,71,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#13_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP13_LO_STATUS,N/A,
109,72,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#14_Lo_Status,Read Only,Boolean,B_DET_RICH_INTLK_TEMP14_LO_STATUS,N/A,
