LabVIEW Signal Name,Access Type,Data Type,EPICS Process Variable (PV),Units,PV #,Group #
FT EPICS Calorimeter Temp #1,Read Only,Double,B_FT_INTERLOCKS_CAL_TEMP_1,¡C,1,1,B_DET_FTC_INTLK_TEMP1
FT EPICS Calorimeter Temp #2,Read Only,Double,B_FT_INTERLOCKS_CAL_TEMP_2,¡C,2,2,B_DET_FTC_INTLK_TEMP2
FT EPICS Calorimeter Temp #3,Read Only,Double,B_FT_INTERLOCKS_CAL_TEMP_3,¡C,3,3,B_DET_FTC_INTLK_TEMP3
FT EPICS Calorimeter Temp #4,Read Only,Double,B_FT_INTERLOCKS_CAL_TEMP_4,¡C,4,4,B_DET_FTC_INTLK_TEMP4
FT EPICS Calorimeter Temp #5,Read Only,Double,B_FT_INTERLOCKS_CAL_TEMP_5,¡C,5,5,B_DET_FTC_INTLK_TEMP5
FT EPICS Calorimeter Temp #6,Read Only,Double,B_FT_INTERLOCKS_CAL_TEMP_6,¡C,6,6,B_DET_FTC_INTLK_TEMP6
FT EPICS Hodoscope Temp #1,Read Only,Double,B_FT_INTERLOCKS_HODO_TEMP_1,¡C,7,7,B_DET_FTH_INTLK_TEMP1
FT EPICS Hodoscope Temp #2,Read Only,Double,B_FT_INTERLOCKS_HODO_TEMP_2,¡C,8,8,B_DET_FTH_INTLK_TEMP2
FT EPICS Calorimeter Humidity #1,Read Only,Double,B_FT_INTERLOCKS_CAL_HUMIDITY_1,%RH,9,9,B_DET_FTC_INTLK_HUMID1
FT EPICS Calorimeter Humidity #2,Read Only,Double,B_FT_INTERLOCKS_CAL_HUMIDITY_2,%RH,10,10,B_DET_FTC_INTLK_HUMID2
FT EPICS Calorimeter Gas Flow,Read Only,Double,B_FT_INTERLOCKS_CAL_GAS_FLOW,sccm,11,11,B_DET_FTC_INTLK_FLOW
FT EPICS Cal Temp 1 Hi Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_1_HI_STATUS,N/A,12,1,B_DET_FTC_INTLK_TEMP1_HI_STAT
FT EPICS Cal Temp 1 Lo Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_1_LO_STATUS,N/A,13,2,B_DET_FTC_INTLK_TEMP1_LO_STAT
FT EPICS Cal Temp 2 Hi Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_2_HI_STATUS,N/A,14,3,B_DET_FTC_INTLK_TEMP2_HI_STAT
FT EPICS Cal Temp 2 Lo Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_2_LO_STATUS,N/A,15,4,B_DET_FTC_INTLK_TEMP2_LO_STAT
FT EPICS Cal Temp 3 Hi Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_3_HI_STATUS,N/A,16,5,B_DET_FTC_INTLK_TEMP3_HI_STAT
FT EPICS Cal Temp 3 Lo Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_3_LO_STATUS,N/A,17,6,B_DET_FTC_INTLK_TEMP3_LO_STAT
FT EPICS Cal Temp 4 Hi Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_4_HI_STATUS,N/A,18,7,B_DET_FTC_INTLK_TEMP4_HI_STAT
FT EPICS Cal Temp 4 Lo Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_4_LO_STATUS,N/A,19,8,B_DET_FTC_INTLK_TEMP4_LO_STAT
FT EPICS Cal Temp 5 Hi Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_5_HI_STATUS,N/A,20,9,B_DET_FTC_INTLK_TEMP5_HI_STAT
FT EPICS Cal Temp 5 Lo Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_5_LO_STATUS,N/A,21,10,B_DET_FTC_INTLK_TEMP5_LO_STAT
FT EPICS Cal Temp 6 Hi Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_6_HI_STATUS,N/A,22,11,B_DET_FTC_INTLK_TEMP6_HI_STAT
FT EPICS Cal Temp 6 Lo Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_6_LO_STATUS,N/A,23,12,B_DET_FTC_INTLK_TEMP6_LO_STAT
FT EPICS Hodo Temp 1 Hi Status,Read Only,Boolean,B_FT_INTERLOCKS_HODO_TEMP_1_HI_STATUS,N/A,24,13,B_DET_FTH_INTLK_TEMP1_HI_STAT
FT EPICS Hodo Temp 1 Lo Status,Read Only,Boolean,B_FT_INTERLOCKS_HODO_TEMP_1_LO_STATUS,N/A,25,14,B_DET_FTH_INTLK_TEMP1_LO_STAT
FT EPICS Hodo Temp 2 Hi Status,Read Only,Boolean,B_FT_INTERLOCKS_HODO_TEMP_2_HI_STATUS,N/A,26,15,B_DET_FTH_INTLK_TEMP2_HI_STAT
FT EPICS Hodo Temp 2 Lo Status,Read Only,Boolean,B_FT_INTERLOCKS_HODO_TEMP_2_LO_STATUS,N/A,27,16,B_DET_FTH_INTLK_TEMP2_LO_STAT
FT EPICS Cal Humidity 1 Hi Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_HUMIDITY_1_HI_STATUS,N/A,28,17,B_DET_FTC_INTLK_HUMID1_HI_STAT
FT EPICS Cal Humidity 1 Lo Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_HUMIDITY_1_LO_STATUS,N/A,29,18,B_DET_FTC_INTLK_HUMID1_LO_STAT
FT EPICS Cal Humidity 2 Hi Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_HUMIDITY_2_HI_STATUS,N/A,30,19,B_DET_FTC_INTLK_HUMID2_HI_STAT
FT EPICS Cal Humidity 2 Lo Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_HUMIDITY_2_LO_STATUS,N/A,31,20,B_DET_FTC_INTLK_HUMID2_LO_STAT
FT EPICS Cal Gas Flow 1 Hi Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_GAS_FLOW_HI_STATUS,N/A,32,21,B_DET_FTC_INTLK_FLOW_HI_STAT
FT EPICS Cal Gas Flow 1 Lo Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_GAS_FLOW_LO_STATUS,N/A,33,22,B_DET_FTC_INTLK_FLOW_LO_STAT
FT EPICS Any Calorimeter Interlocks Over Limit?,Read Only,Boolean,B_FT_INTERLOCKS_ANY_CALORIMETER_INTERLOCKS_OVER_LIMIT,N/A,34,1,B_DET_FTC_INTLK_ANY_OVERLIMIT
FT EPICS Calorimeter Temperature Status,Read Only,Boolean,B_FT_INTERLOCKS_CALORIMETER_TEMPERATURE_STATUS,N/A,35,1,B_DET_FTC_INTLK_TEMP_STATUS
FT EPICS Calorimeter Humidity Status,Read Only,Boolean,B_FT_INTERLOCKS_CALORIMETER_HUMIDITY_STATUS,N/A,36,1,B_DET_FTC_INTLK_HUMID_STATUS
FT EPICS Calorimeter Gas Flow Status,Read Only,Boolean,B_FT_INTERLOCKS_CALORIMETER_GAS_FLOW_STATUS,N/A,37,1,B_DET_FTC_INTLK_FLOW_STATUS
FT EPICS Any Hodoscope Interlocks Over Limit?,Read Only,Boolean,B_FT_INTERLOCKS_ANY_HODOSCOPE_INTERLOCKS_OVER_LIMIT,N/A,38,1,B_DET_FTH_INTLK_ANY_OVERLIMIT
FT EPICS Hodoscope Temperature Status,Read Only,Boolean,B_FT_INTERLOCKS_HODOSCOPE_TEMPERATURE_STATUS,N/A,39,1,B_DET_FTH_INTLK_TEMP_STATUS
FT EPICS Cal Temp 1 Latched Hi Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_1_LATCHED_HI_ERROR,N/A,40,1,B_DET_FTC_INTLK_TEMP1_LATCHED_HI_ERR
FT EPICS Cal Temp 1 Latched Lo Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_1_LATCHED_LO_ERROR,N/A,41,2,B_DET_FTC_INTLK_TEMP1_LATCHED_LO_ERR
FT EPICS Cal Temp 2 Latched Hi Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_2_LATCHED_HI_ERROR,N/A,42,3,B_DET_FTC_INTLK_TEMP2_LATCHED_HI_ERR
FT EPICS Cal Temp 2 Latched Lo Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_2_LATCHED_LO_ERROR,N/A,43,4,B_DET_FTC_INTLK_TEMP2_LATCHED_LO_ERR
FT EPICS Cal Temp 3 Latched Hi Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_3_LATCHED_HI_ERROR,N/A,44,5,B_DET_FTC_INTLK_TEMP3_LATCHED_HI_ERR
FT EPICS Cal Temp 3 Latched Lo Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_3_LATCHED_LO_ERROR,N/A,45,6,B_DET_FTC_INTLK_TEMP3_LATCHED_LO_ERR
FT EPICS Cal Temp 4 Latched Hi Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_4_LATCHED_HI_ERROR,N/A,46,7,B_DET_FTC_INTLK_TEMP4_LATCHED_HI_ERR
FT EPICS Cal Temp 4 Latched Lo Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_4_LATCHED_LO_ERROR,N/A,47,8,B_DET_FTC_INTLK_TEMP4_LATCHED_LO_ERR
FT EPICS Cal Temp 5 Latched Hi Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_5_LATCHED_HI_ERROR,N/A,48,9,B_DET_FTC_INTLK_TEMP5_LATCHED_HI_ERR
FT EPICS Cal Temp 5 Latched Lo Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_5_LATCHED_LO_ERROR,N/A,49,10,B_DET_FTC_INTLK_TEMP5_LATCHED_LO_ERR
FT EPICS Cal Temp 6 Latched Hi Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_6_LATCHED_HI_ERROR,N/A,50,11,B_DET_FTC_INTLK_TEMP6_LATCHED_HI_ERR
FT EPICS Cal Temp 6 Latched Lo Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_6_LATCHED_LO_ERROR,N/A,51,12,B_DET_FTC_INTLK_TEMP6_LATCHED_LO_ERR
FT EPICS Hodo Temp 1 Latched Hi Error,Read Only,Boolean,B_FT_INTERLOCKS_HODO_TEMP_1_LATCHED_HI_ERROR,N/A,52,13,B_DET_FTH_INTLK_TEMP1_LATCHED_HI_ERR
FT EPICS Hodo Temp 1 Latched Lo Error,Read Only,Boolean,B_FT_INTERLOCKS_HODO_TEMP_1_LATCHED_LO_ERROR,N/A,53,14,B_DET_FTH_INTLK_TEMP1_LATCHED_LO_ERR
FT EPICS Hodo Temp 2 Latched Hi Error,Read Only,Boolean,B_FT_INTERLOCKS_HODO_TEMP_2_LATCHED_HI_ERROR,N/A,54,15,B_DET_FTH_INTLK_TEMP2_LATCHED_HI_ERR
FT EPICS Hodo Temp 2 Latched Lo Error,Read Only,Boolean,B_FT_INTERLOCKS_HODO_TEMP_2_LATCHED_LO_ERROR,N/A,55,16,B_DET_FTH_INTLK_TEMP2_LATCHED_LO_ERR
FT EPICS Cal Humidity 1 Latched Hi Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_HUMIDITY_1_LATCHED_HI_ERROR,N/A,56,17,B_DET_FTC_INTLK_HUMID1_LATCHED_HI_ERR
FT EPICS Cal Humidity 1 Latched Lo Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_HUMIDITY_1_LATCHED_LO_ERROR,N/A,57,18,B_DET_FTC_INTLK_HUMID1_LATCHED_LO_ERR
FT EPICS Cal Humidity 2 Latched Hi Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_HUMIDITY_2_LATCHED_HI_ERROR,N/A,58,19,B_DET_FTC_INTLK_HUMID1_LATCHED_HI_ERR
FT EPICS Cal Humidity 2 Latched Lo Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_HUMIDITY_2_LATCHED_LO_ERROR,N/A,59,20,B_DET_FTC_INTLK_HUMID1_LATCHED_LO_ERR
FT EPICS Cal Gas Flow 1 Latched Hi Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_GAS_FLOW_LATCHED_HI_ERROR,N/A,60,21,B_DET_FTC_INTLK_FLOW_LATCHED_HI_ERR
FT EPICS Cal Gas Flow 1 Latched Lo Error,Read Only,Boolean,B_FT_INTERLOCKS_CAL_GAS_FLOW_LATCHED_LO_ERROR,N/A,61,22,B_DET_FTC_INTLK_FLOW_LATCHED_LO_ERR
FT EPICS Calorimeter Temperature Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMPERATURE_LATCHED_ERROR,N/A,62,1,B_DET_FTC_INTLK_TEMP_LATCHED_ERR
FT EPICS Calorimeter Humidity Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_HUMIDITY_LATCHED_ERROR,N/A,63,1,B_DET_FTC_INTLK_HUMID_LATCHED_ERR
FT EPICS Calorimeter Gas Flow Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_GAS_FLOW_LATCHED_ERROR,N/A,64,1,B_DET_FTC_INTLK_FLOW_LATCHED_ERR
FT EPICS Hodoscope Temperature Status,Read Only,Boolean,B_FT_INTERLOCKS_HODO_TEMPERATURE_LATCHED_ERROR,N/A,65,1,B_DET_FTH_TEMP_LATCHED_ERR
FT EPICS Reset Latched Errors,Read/Write,Boolean,B_FT_INTERLOCKS_RESET_LATCHED_ERRORS,N/A,66,1,B_DET_FT_INTLK_RESET_LATCHED_ERR
FT EPICS Calorimeter Temp #1 Interlock Enable,Read/Write,Boolean,B_FT_INTERLOCKS_CAL_TEMP_1_INTERLOCK_ENABLE,N/A,67,1,B_DET_FTC_INTLK_TEMP1_ENABLE
FT EPICS Calorimeter Temp #2 Interlock Enable,Read/Write,Boolean,B_FT_INTERLOCKS_CAL_TEMP_2_INTERLOCK_ENABLE,N/A,68,2,B_DET_FTC_INTLK_TEMP2_ENABLE
FT EPICS Calorimeter Temp #3 Interlock Enable,Read/Write,Boolean,B_FT_INTERLOCKS_CAL_TEMP_3_INTERLOCK_ENABLE,N/A,69,3,B_DET_FTC_INTLK_TEMP3_ENABLE
FT EPICS Calorimeter Temp #4 Interlock Enable,Read/Write,Boolean,B_FT_INTERLOCKS_CAL_TEMP_4_INTERLOCK_ENABLE,N/A,70,4,B_DET_FTC_INTLK_TEMP4_ENABLE
FT EPICS Calorimeter Temp #5 Interlock Enable,Read/Write,Boolean,B_FT_INTERLOCKS_CAL_TEMP_5_INTERLOCK_ENABLE,N/A,71,5,B_DET_FTC_INTLK_TEMP5_ENABLE
FT EPICS Calorimeter Temp #6 Interlock Enable,Read/Write,Boolean,B_FT_INTERLOCKS_CAL_TEMP_6_INTERLOCK_ENABLE,N/A,72,6,B_DET_FTC_INTLK_TEMP5_ENABLE
FT EPICS Hodoscope Temp #1 Interlock Enable,Read/Write,Boolean,B_FT_INTERLOCKS_HODO_TEMP_1_INTERLOCK_ENABLE,N/A,73,7,B_DET_FTH_INTLK_TEMP1_ENABLE
FT EPICS Hodoscope Temp #2 Interlock Enable,Read/Write,Boolean,B_FT_INTERLOCKS_HODO_TEMP_2_INTERLOCK_ENABLE,N/A,74,8,B_DET_FTH_INTLK_TEMP1_ENABLE
FT EPICS Calorimeter Humidity #1 Interlock Enable,Read/Write,Boolean,B_FT_INTERLOCKS_CAL_HUMIDITY_1_INTERLOCK_ENABLE,N/A,75,9,B_DET_FTC_INTLK_HUMID1_ENABLE
FT EPICS Calorimeter Humidity #2 Interlock Enable,Read/Write,Boolean,B_FT_INTERLOCKS_CAL_HUMIDITY_2_INTERLOCK_ENABLE,N/A,76,10,B_DET_FTC_INTLK_HUMID2_ENABLE
FT EPICS Calorimeter Gas Flow Interlock Enable,Read/Write,Boolean,B_FT_INTERLOCKS_CAL_GAS_FLOW_INTERLOCK_ENABLE,N/A,77,11,B_DET_FTC_INTLK_FLOW_ENABLE
FT EPICS Calorimeter Temp #1 Hi Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_TEMP_1_HI_THRES,¡C,78,1,B_DET_FTC_TEMP1_HI
FT EPICS Calorimeter Temp #1 Lo Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_TEMP_1_LO_THRES,¡C,79,2,B_DET_FTC_TEMP1_LO
FT EPICS Calorimeter Temp #2 Hi Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_TEMP_2_HI_THRES,¡C,80,3,B_DET_FTC_TEMP2_HI
FT EPICS Calorimeter Temp #2 Lo Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_TEMP_2_LO_THRES,¡C,81,4,B_DET_FTC_TEMP2_LO
FT EPICS Calorimeter Temp #3 Hi Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_TEMP_3_HI_THRES,¡C,82,5,B_DET_FTC_TEMP3_HI
FT EPICS Calorimeter Temp #3 Lo Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_TEMP_3_LO_THRES,¡C,83,6,B_DET_FTC_TEMP3_LO
FT EPICS Calorimeter Temp #4 Hi Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_TEMP_4_HI_THRES,¡C,84,7,B_DET_FTC_TEMP4_HI
FT EPICS Calorimeter Temp #4 Lo Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_TEMP_4_LO_THRES,¡C,85,8,B_DET_FTC_TEMP4_LO
FT EPICS Calorimeter Temp #5 Hi Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_TEMP_5_HI_THRES,¡C,86,9,B_DET_FTC_TEMP5_HI
FT EPICS Calorimeter Temp #5 Lo Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_TEMP_5_LO_THRES,¡C,87,10,B_DET_FTC_TEMP5_LO
FT EPICS Calorimeter Temp #6 Hi Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_TEMP_6_HI_THRES,¡C,88,11,B_DET_FTC_TEMP6_HI
FT EPICS Calorimeter Temp #6 Lo Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_TEMP_6_LO_THRES,¡C,89,12,B_DET_FTC_TEMP6_LO
FT EPICS Hodoscope Temp #1 Hi Threshold,Read/Write,Double,B_FT_INTERLOCKS_HODO_TEMP_1_HI_THRES,¡C,90,13,B_DET_FTH_TEMP1_HI
FT EPICS Hodoscope Temp #1 Lo Threshold,Read/Write,Double,B_FT_INTERLOCKS_HODO_TEMP_1_LO_THRES,¡C,91,14,B_DET_FTH_TEMP1_LO
FT EPICS Hodoscope Temp #2 Hi Threshold,Read/Write,Double,B_FT_INTERLOCKS_HODO_TEMP_2_HI_THRES,¡C,92,15,B_DET_FTH_TEMP2_HI
FT EPICS Hodoscope Temp #2 Lo Threshold,Read/Write,Double,B_FT_INTERLOCKS_HODO_TEMP_2_LO_THRES,¡C,93,16,B_DET_FTH_TEMP1_LO
FT EPICS Calorimeter Humidity #1 Hi Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_HUMIDITY_1_HI_THRES,%RH,94,17,B_DET_FTC_HUMID1_HI
FT EPICS Calorimeter Humidity #1 Lo Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_HUMIDITY_1_LO_THRES,%RH,95,18,B_DET_FTC_HUMID1_LO
FT EPICS Calorimeter Humidity #2 Hi Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_HUMIDITY_2_HI_THRES,%RH,96,19,B_DET_FTC_HUMID2_HI
FT EPICS Calorimeter Humidity #2 Lo Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_HUMIDITY_2_LO_THRES,%RH,97,20,B_DET_FTC_HUMID2_LO
FT EPICS Calorimeter Gas Flow Hi Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_GAS_FLOW_HI_THRES,sccm,98,21,B_DET_FTC_FLOW_HI
FT EPICS Calorimeter Gas Flow Lo Threshold,Read/Write,Double,B_FT_INTERLOCKS_CAL_GAS_FLOW_LO_THRES,sccm,99,22,B_DET_FTC_FLOW_LO
FT EPICS Threshold Control,Read Only,Boolean,B_FT_INTERLOCKS_EPICS_THRESHOLD_CONTROL,N/A,100,1,B_DET_FT_INTLK_EPICS_THRESH_CTRL
FT EPICS Calorimeter LV Enable Status,Read Only,Boolean,B_FT_INTERLOCKS_CALORIMETER_LV_ENABLE_STATUS,N/A,101,1,B_DET_FTC_INTLK_LV_ENABLE_STAT
FT EPICS Calorimeter HV Enable Status,Read Only,Boolean,B_FT_INTERLOCKS_CALORIMETER_HV_ENABLE_STATUS,N/A,102,2,B_DET_FTC_INTLK_HV_ENABLE_STAT
FT EPICS Calorimeter Chiller Enable Status,Read Only,Boolean,B_FT_INTERLOCKS_CALORIMETER_CHILLER_ENABLE_STATUS,N/A,103,3,B_DET_FTC_INTLK_CHILLER_ENABLE_STAT
FT EPICS Hodoscope LV Enable Status,Read Only,Boolean,B_FT_INTERLOCKS_HODOSCOPE_LV_ENABLE_STATUS,N/A,104,4,B_DET_FTH_INTLK_LV_ENABLE_STAT
FT EPICS Hodoscope HV Enable Status,Read Only,Boolean,B_FT_INTERLOCKS_HODOSCOPE_HV_ENABLE_STATUS,N/A,105,5,B_DET_FTH_INTLK_HV_ENABLE_STAT
FT EPICS cRio Heartbeat,Read Only,Boolean,B_FT_INTERLOCKS_CRIO_HEARTBEAT,N/A,106,1,B_HW_CRIO_FT_HEARTBEAT
FT EPICS cRio CPU Usage,Read Only,Double,B_FT_INTERLOCKS_CRIO_CPU_USEAGE,%,107,2,B_HW_CRIO_FT_CPULOAD
FT EPICS System Uptime,Read Only,Double,B_FT_INTERLOCKS_SYSTEM_UPTIME,Sec,108,3,B_HW_CRIO_FT_UPTIME
